Age,Annual_Income,CIBIL_Score,Home_Ownership,Employment_Length,Loan_Intent,Loan_Amount,Loan_Status,Outstanding_Debts,Average_Monthly_Expenditure,Frequency_of_Card_Usage,Bill_Payment_Timeliness,Late_Payment_Penalties,Number_of_Missed_Payments,ATM_Withdrawal_Frequency,Preferred_Payment_Method,Insurance_Coverage,Financial_Literacy_Level,Number_of_Credit_Cards_Owned,Number_of_Bank_Accounts,Risk_Appetite,Savings_Habits,Venmo Visa Credit Card,Synchrony Premier World Mastercard,CareCredit Credit Card,PayPal Cashback World Mastercard,Ashley Advantage Credit Card,Synchrony HOME Credit Card,Synchrony Car Care Credit Card,Verizon Visa Card
59,2256299,447,Own,14,Credit Card,439361,Defaulted,354096,106490,1,On Time,1,5,12,Debit Card,0,Medium,4,5,Low,Average,0,0,0,0,0,1,0,0
42,2356480,845,Own,27,Education,229726,Defaulted,156428,40894,42,Late,1,4,9,UPI,0,Low,4,8,Medium,Good,0,1,0,0,0,0,0,0
50,2639117,871,Own,1,Credit Card,676908,Defaulted,365792,119589,4,On Time,0,8,6,UPI,1,Medium,1,6,Low,Average,0,0,0,0,0,1,0,0
50,1736151,464,Rent,13,Credit Card,792101,Defaulted,292265,129376,5,Late,0,9,10,Debit Card,1,Medium,4,7,High,Poor,0,0,0,0,0,0,0,0
32,405705,494,Own,4,Credit Card,254581,Defaulted,80899,50454,49,On Time,0,9,13,Credit Card,0,Medium,3,4,Low,Good,1,0,1,1,0,1,0,1
33,509996,782,Rent,9,Home,520389,Defaulted,324696,119235,8,Late,1,9,13,Cash,0,High,3,5,Low,Poor,0,0,0,0,0,0,0,0
61,2037000,426,Rent,13,Credit Card,310036,Paid,213332,21445,13,Late,1,2,14,Cash,1,Medium,2,4,Low,Average,0,0,0,0,0,0,0,0
55,1809754,524,Rent,17,Education,835510,Defaulted,291405,90888,8,Late,0,7,6,Cash,1,Low,4,4,Low,Good,0,0,0,0,0,0,0,0
23,556470,522,Own,33,Education,375914,Defaulted,95423,29286,15,On Time,1,4,6,Cash,1,Medium,1,1,Low,Average,0,0,0,0,0,0,0,0
61,1933330,863,Rent,16,Home,464156,Paid,282053,22817,24,Late,1,0,16,Credit Card,1,High,4,8,High,Poor,0,1,0,1,0,0,0,1
42,2946467,855,Rent,27,Education,937944,Defaulted,446,54057,22,On Time,0,5,2,Credit Card,1,Medium,4,6,High,Good,0,1,0,1,0,0,0,1
32,1953893,897,Own,30,Home,672771,Paid,222866,109496,5,Late,1,8,8,Credit Card,0,High,4,5,High,Average,0,0,0,0,1,1,0,0
21,1987848,454,Own,32,Personal,221609,Defaulted,462747,28895,8,Late,0,1,2,UPI,1,Medium,1,8,High,Average,0,0,0,0,0,0,0,0
21,265353,337,Rent,3,Car,608240,Paid,447271,76595,27,On Time,1,3,5,Cash,1,Low,2,4,High,Average,0,0,1,0,0,0,0,0
47,1796744,721,Rent,22,Credit Card,537952,Paid,375706,46383,10,Late,0,5,14,Credit Card,1,Medium,3,6,Medium,Average,0,0,0,0,0,0,0,0
51,1334096,312,Rent,20,Education,609775,Defaulted,135244,68254,9,On Time,0,5,16,Debit Card,1,Medium,1,4,Low,Poor,0,0,0,0,0,0,0,0
44,721321,648,Rent,24,Education,659820,Paid,454355,49695,5,On Time,0,8,6,Credit Card,0,Low,4,2,Low,Average,0,0,0,0,0,0,0,0
48,672293,704,Own,14,Personal,339817,Defaulted,359598,71359,2,On Time,0,0,11,Debit Card,1,High,1,4,Medium,Good,0,0,0,0,0,1,0,0
49,1801839,524,Rent,13,Credit Card,101403,Paid,459950,19834,10,On Time,1,9,2,Debit Card,0,Medium,3,4,Medium,Average,0,0,0,0,0,0,0,0
61,2219590,603,Rent,12,Home,889411,Paid,227095,144996,41,Late,0,1,3,Debit Card,1,Medium,3,9,Medium,Poor,0,0,0,0,0,0,0,0
56,2417155,345,Own,32,Personal,899822,Paid,5856,118797,12,On Time,1,1,10,UPI,1,Medium,2,4,High,Good,0,0,0,0,0,1,0,0
69,1677880,519,Own,20,Credit Card,628675,Defaulted,121198,102003,3,On Time,1,4,5,Cash,1,Medium,3,8,High,Average,0,0,0,0,0,1,0,0
26,1988361,377,Rent,23,Credit Card,110053,Paid,319716,95500,4,Late,0,0,14,Debit Card,1,Medium,2,8,Medium,Good,0,0,0,0,0,0,0,0
58,2075661,577,Rent,24,Home,800041,Defaulted,458836,73911,49,Late,0,7,17,Cash,0,Medium,4,4,Medium,Good,0,0,0,0,0,0,0,0
25,2545368,828,Rent,34,Personal,273840,Defaulted,42011,66656,17,Late,1,6,10,Credit Card,1,High,2,6,High,Poor,0,0,0,1,0,0,0,1
31,2198235,396,Own,22,Personal,856415,Paid,269302,76513,25,Late,0,8,11,Cash,1,Low,3,9,Medium,Poor,0,0,0,0,0,1,0,0
50,1385997,780,Rent,3,Car,836887,Paid,117675,117294,48,Late,0,5,2,Credit Card,1,Medium,4,7,High,Average,0,1,0,1,0,0,0,1
40,223347,401,Own,20,Home,990367,Defaulted,156547,132378,27,Late,0,5,18,Debit Card,0,Medium,4,6,High,Good,0,0,1,0,1,1,0,0
38,1040574,370,Own,23,Car,861258,Defaulted,113102,118272,30,Late,1,4,17,Credit Card,1,High,1,1,Low,Average,0,0,0,1,0,1,1,1
29,2887363,457,Own,25,Credit Card,66303,Paid,152662,121196,44,On Time,1,7,11,Credit Card,1,High,3,2,High,Average,1,0,0,1,0,1,0,1
19,1557611,852,Own,24,Car,330810,Paid,82066,58776,41,Late,0,5,7,Debit Card,1,High,4,6,Low,Average,1,1,0,0,0,1,1,0
30,1189950,349,Rent,7,Home,399037,Paid,455120,103938,26,On Time,0,5,19,UPI,1,Low,4,1,High,Good,0,0,0,0,0,0,0,0
21,871118,701,Rent,5,Credit Card,377823,Defaulted,336343,117740,1,Late,1,6,10,Cash,1,High,1,6,Low,Average,0,0,0,0,0,0,0,0
37,1929543,885,Rent,33,Personal,988454,Paid,99394,21019,49,On Time,1,8,14,Credit Card,0,High,4,3,High,Poor,0,1,0,1,0,0,0,1
67,924443,365,Own,2,Car,945548,Paid,482919,38271,2,Late,0,7,8,UPI,1,High,4,4,Low,Average,0,0,0,0,0,0,1,0
68,1878272,534,Own,15,Personal,728401,Defaulted,148347,66717,49,On Time,0,3,3,Credit Card,0,High,3,5,Low,Good,0,0,0,1,0,1,0,1
65,1889571,568,Rent,5,Personal,538525,Paid,435741,17661,37,On Time,1,3,1,Debit Card,1,Low,1,4,High,Poor,0,0,0,0,0,0,0,0
31,307376,556,Own,20,Home,702558,Paid,44621,53587,40,On Time,1,3,2,UPI,0,High,4,1,Low,Good,1,0,1,0,1,1,0,0
47,1881641,715,Rent,2,Car,69479,Paid,202360,107440,1,Late,1,4,18,Debit Card,1,High,2,6,Low,Good,0,0,0,0,0,0,1,0
46,2748633,388,Own,0,Education,236403,Defaulted,114797,14073,39,Late,0,0,10,UPI,0,High,3,3,Low,Good,0,0,0,0,0,0,0,0
25,371550,821,Own,6,Personal,197521,Defaulted,236990,5563,25,Late,1,6,3,Cash,1,Medium,1,3,Medium,Poor,0,0,0,0,0,0,0,0
29,2903154,798,Rent,23,Home,291377,Defaulted,259372,123532,20,Late,1,6,1,Cash,1,High,3,2,Low,Poor,0,0,0,0,0,0,0,0
58,545896,682,Own,19,Education,925421,Paid,416809,149115,9,Late,1,1,17,Cash,1,Medium,4,7,Low,Average,0,0,0,0,0,1,0,0
55,1060210,776,Own,33,Credit Card,292927,Paid,222555,108540,27,Late,1,7,6,Debit Card,0,Medium,4,6,Low,Poor,0,1,0,0,0,1,0,0
43,329682,700,Rent,7,Education,595124,Paid,169865,43317,22,On Time,1,9,19,UPI,0,Low,2,2,Low,Average,0,0,0,0,0,0,0,0
67,2677662,533,Rent,24,Home,988607,Paid,341375,63655,10,On Time,1,9,6,Cash,0,Low,4,2,High,Average,0,0,0,0,0,0,0,0
19,1911432,865,Own,27,Credit Card,238297,Paid,89542,49665,25,Late,1,4,13,Cash,0,High,3,8,High,Poor,0,1,0,0,0,0,0,0
57,2776770,605,Own,24,Personal,125941,Defaulted,75070,66237,5,On Time,1,6,0,Cash,1,Low,4,8,Medium,Poor,0,0,0,0,0,1,0,0
31,1114469,358,Rent,11,Credit Card,387797,Defaulted,155500,37228,19,Late,0,9,4,Debit Card,1,Medium,1,6,Medium,Good,0,0,0,0,0,0,0,0
23,2325509,561,Own,19,Car,577663,Paid,304591,61028,12,Late,0,6,4,Cash,1,Medium,2,8,High,Average,0,0,0,0,0,1,0,0
59,2343404,749,Own,17,Personal,111140,Defaulted,437646,104522,47,Late,0,0,19,Debit Card,0,Low,2,3,High,Good,0,0,0,0,0,1,0,0
57,1148716,331,Own,32,Personal,773378,Paid,376937,52744,23,On Time,1,9,13,Credit Card,0,Low,2,8,Low,Average,0,0,0,1,0,1,0,1
48,992319,368,Own,32,Credit Card,190817,Paid,356886,13572,14,Late,1,3,12,Credit Card,0,Medium,1,7,High,Poor,0,0,0,0,0,0,0,1
34,2642694,382,Rent,11,Education,175269,Defaulted,495903,57878,42,Late,0,3,16,Debit Card,1,Medium,4,7,Medium,Good,1,0,0,0,0,0,0,0
42,2200936,770,Rent,13,Car,822890,Defaulted,385173,127134,28,On Time,0,1,0,UPI,0,Low,1,1,High,Average,0,1,0,0,0,0,0,0
49,1254616,851,Rent,19,Car,191879,Paid,480658,49727,29,On Time,1,6,0,UPI,1,High,4,3,High,Poor,0,1,0,0,0,0,0,0
29,2283761,303,Own,17,Home,601268,Defaulted,287962,49132,13,On Time,1,5,7,Debit Card,1,Low,2,9,Medium,Average,0,0,0,0,1,0,0,0
66,344512,886,Rent,9,Personal,601304,Paid,388411,77454,16,On Time,0,7,13,UPI,1,Medium,4,6,High,Average,0,0,0,0,0,0,0,0
30,2949493,473,Rent,16,Home,249534,Paid,351530,87199,29,Late,1,4,19,UPI,1,High,3,1,Low,Average,0,0,0,0,0,0,0,0
36,1578599,404,Rent,4,Home,862345,Defaulted,456257,12169,41,On Time,0,0,18,Debit Card,1,High,4,1,Medium,Good,0,0,0,0,0,0,0,0
61,2435412,447,Rent,27,Home,817891,Defaulted,316114,130483,3,On Time,0,3,11,UPI,1,Medium,4,8,Low,Good,0,0,0,0,0,0,0,0
65,2094588,421,Own,32,Car,681935,Paid,16362,126908,44,On Time,0,7,6,Credit Card,1,Medium,3,1,High,Good,0,0,0,1,0,1,1,1
42,403464,313,Rent,20,Home,667882,Defaulted,291187,94114,19,Late,1,4,9,Cash,0,High,1,3,High,Good,0,0,1,0,0,0,0,0
48,1008476,807,Rent,27,Credit Card,923212,Paid,393574,87744,1,Late,0,6,1,Debit Card,1,Low,3,6,Medium,Good,0,0,0,0,0,0,0,0
54,241503,806,Own,0,Car,255727,Paid,28563,40255,9,On Time,1,3,3,UPI,1,High,1,9,Low,Average,0,0,0,0,0,0,0,0
42,2283594,686,Rent,2,Credit Card,938843,Defaulted,383061,107171,21,Late,0,7,2,Cash,1,Low,2,5,Medium,Good,0,0,0,0,0,0,0,0
33,1992947,832,Own,12,Car,733346,Paid,327683,48048,42,Late,0,1,16,UPI,1,Low,1,2,High,Good,1,1,0,0,0,0,1,0
55,1150364,616,Own,25,Personal,930481,Paid,192473,85327,20,On Time,0,8,18,Cash,1,Medium,1,5,Medium,Average,0,0,0,0,0,1,0,0
60,1908190,448,Rent,5,Home,850764,Defaulted,219079,132493,7,On Time,0,8,8,UPI,0,Low,3,7,High,Good,0,0,0,0,0,0,0,0
66,355582,804,Rent,24,Home,152010,Defaulted,390455,27388,6,On Time,0,7,16,UPI,1,Medium,2,5,Low,Average,0,0,0,0,0,0,0,0
40,2399989,794,Rent,34,Personal,663028,Defaulted,329467,6671,9,Late,1,3,15,UPI,0,Medium,3,3,High,Poor,0,0,0,0,0,0,0,0
31,1842801,736,Rent,18,Personal,316124,Defaulted,169745,143199,15,Late,1,8,5,Debit Card,0,High,2,1,High,Average,0,0,0,0,0,0,0,0
23,1743128,732,Own,34,Education,798382,Defaulted,137697,99752,9,On Time,0,4,15,Debit Card,0,Medium,4,9,High,Good,0,0,0,0,0,1,0,0
42,2460346,891,Own,21,Home,594649,Paid,279443,135958,13,On Time,1,8,12,UPI,0,Medium,1,9,Medium,Average,0,0,0,0,1,1,0,0
40,1071641,563,Rent,10,Education,52189,Paid,174151,147700,36,Late,0,7,6,UPI,1,Low,4,2,High,Average,0,0,0,0,0,0,0,0
60,2195733,400,Rent,24,Car,808683,Paid,310811,129599,21,On Time,1,3,4,Cash,1,High,1,4,Low,Good,0,0,0,0,0,0,0,0
29,1947272,707,Rent,25,Credit Card,914014,Paid,79476,12756,25,On Time,0,8,19,Credit Card,1,Low,1,6,Medium,Good,0,0,0,1,0,0,0,1
30,1705120,858,Own,9,Car,800031,Defaulted,361721,87552,38,Late,1,0,5,UPI,0,Low,2,1,Low,Poor,1,1,0,0,0,1,0,0
53,876182,381,Own,27,Personal,812838,Defaulted,388659,76760,21,Late,1,0,8,Credit Card,0,Low,3,3,High,Good,0,0,0,1,0,1,0,1
56,2296866,704,Own,18,Education,259792,Paid,234317,115987,6,Late,1,6,16,Credit Card,0,Medium,3,1,High,Good,0,0,0,0,0,1,0,0
51,534547,423,Rent,18,Credit Card,220142,Defaulted,480265,71326,31,Late,0,0,2,UPI,0,High,3,5,High,Good,0,0,0,0,0,0,0,0
23,2857442,563,Own,17,Home,55956,Paid,135517,62543,38,Late,0,9,12,Cash,1,High,1,3,High,Average,1,0,0,0,0,1,0,0
55,681133,540,Rent,25,Education,994259,Defaulted,179715,47677,24,Late,0,2,1,Debit Card,1,High,3,9,High,Good,0,0,0,0,0,0,0,0
67,2270685,390,Rent,7,Personal,503857,Paid,209654,18252,12,On Time,0,8,8,Cash,0,Low,4,7,Medium,Average,0,0,0,0,0,0,0,0
69,1850230,527,Own,4,Personal,758655,Paid,347068,127840,3,On Time,0,7,6,UPI,1,Medium,4,2,Low,Average,0,0,0,0,0,1,0,0
57,2948780,453,Rent,7,Education,165739,Defaulted,184898,5198,39,On Time,1,2,18,UPI,0,Medium,4,1,Low,Average,0,0,0,0,0,0,0,0
25,1832128,671,Own,29,Education,649921,Paid,435905,120215,35,On Time,1,2,8,UPI,0,Medium,3,9,High,Poor,1,0,0,0,0,1,0,0
25,1832408,660,Own,7,Personal,66111,Paid,46286,12645,5,On Time,0,5,7,Cash,1,Low,4,3,High,Good,0,0,0,0,0,0,0,0
57,728915,633,Own,9,Credit Card,783756,Defaulted,7548,62363,44,On Time,0,4,11,Credit Card,1,High,2,8,Low,Average,0,0,0,1,0,1,0,1
50,2685190,780,Rent,26,Car,945170,Paid,61728,110537,5,On Time,1,5,14,UPI,0,Medium,1,4,Low,Poor,0,0,0,0,0,0,1,0
51,2415311,514,Own,14,Personal,473249,Defaulted,182468,123905,2,On Time,0,2,5,Debit Card,1,High,3,7,Low,Average,0,0,0,0,0,1,0,0
61,573590,875,Rent,19,Car,978275,Defaulted,322448,137935,47,On Time,0,3,4,Debit Card,0,Medium,1,6,Low,Good,0,0,0,0,0,0,0,0
32,880814,841,Own,17,Car,509506,Defaulted,450857,121716,6,Late,1,7,11,Credit Card,0,High,1,2,Medium,Good,0,0,0,0,0,1,1,0
53,2033555,477,Own,11,Credit Card,63408,Paid,171524,22042,13,Late,0,2,14,Debit Card,1,Medium,3,5,Medium,Poor,0,0,0,0,0,0,0,0
52,1703598,745,Rent,17,Education,90458,Paid,160469,7907,36,On Time,0,0,6,Cash,0,Medium,3,2,Low,Average,0,0,0,0,0,0,0,0
63,1320210,469,Own,34,Education,359187,Defaulted,44295,90149,32,Late,1,8,11,UPI,1,High,2,6,Medium,Good,0,0,0,0,0,1,0,0
39,1674021,455,Rent,26,Education,904223,Paid,68200,112241,23,On Time,0,6,0,Credit Card,0,Low,3,6,Low,Average,0,0,0,1,0,0,0,1
40,564255,869,Rent,7,Personal,480720,Defaulted,440560,106092,9,On Time,0,8,15,Credit Card,1,Low,4,6,Medium,Average,0,0,0,0,0,0,0,0
57,2580637,330,Rent,34,Home,409254,Paid,101552,73730,23,Late,0,6,18,Cash,0,High,2,2,Low,Poor,0,0,0,0,0,0,0,0
62,2291901,666,Own,31,Home,947048,Paid,296687,62906,21,On Time,1,5,3,UPI,0,Low,4,6,High,Average,0,0,0,0,1,1,0,0
68,295642,527,Rent,8,Home,787580,Paid,384215,49696,25,Late,0,7,8,Credit Card,1,High,1,9,Low,Good,0,0,1,1,0,0,0,1
39,2218577,415,Own,7,Credit Card,653138,Defaulted,122388,62790,34,Late,0,9,15,UPI,1,Medium,4,8,Medium,Poor,0,0,0,0,0,1,0,0
22,642956,758,Own,7,Credit Card,501820,Defaulted,404551,63242,9,On Time,1,3,18,Cash,0,High,2,1,High,Poor,0,0,0,0,0,1,0,0
48,1743979,823,Rent,0,Home,609107,Defaulted,141083,74128,19,Late,0,2,3,Debit Card,0,Low,4,7,High,Good,0,0,0,0,0,0,0,0
30,1733233,600,Own,24,Education,374465,Paid,60576,148412,27,On Time,0,7,13,Cash,0,Low,4,5,Medium,Average,0,0,0,0,0,1,0,0
45,2936585,621,Rent,6,Education,455705,Paid,131196,41933,38,On Time,1,2,5,Credit Card,1,Medium,2,8,High,Average,0,0,0,1,0,0,0,1
37,981581,495,Rent,31,Home,129478,Paid,71165,105458,6,On Time,1,0,12,Cash,1,High,4,9,Medium,Poor,0,0,0,0,0,0,0,0
50,2883955,715,Rent,9,Education,946930,Defaulted,71374,62644,49,Late,1,3,7,UPI,1,Low,2,7,High,Poor,0,0,0,0,0,0,0,0
33,2823324,724,Rent,21,Home,903681,Defaulted,162866,98786,5,On Time,1,0,16,Cash,1,Medium,4,6,Medium,Good,0,0,0,0,0,0,0,0
46,2409738,482,Rent,16,Personal,583759,Defaulted,110398,106244,6,Late,0,3,10,UPI,1,Low,4,6,Medium,Poor,0,0,0,0,0,0,0,0
40,2382193,816,Own,10,Car,243599,Defaulted,168898,5067,5,Late,0,0,15,UPI,1,Medium,2,3,Low,Good,0,0,0,0,0,0,1,0
41,2403098,618,Rent,15,Car,486264,Defaulted,422603,6748,38,On Time,1,3,1,Cash,1,High,3,5,Low,Poor,0,0,0,0,0,0,0,0
51,2075728,559,Rent,24,Car,765764,Defaulted,304287,100513,5,On Time,0,5,0,Credit Card,1,High,4,7,High,Average,0,0,0,0,0,0,0,0
24,1782459,670,Own,29,Home,414676,Defaulted,438007,80908,28,Late,0,8,0,Cash,1,High,1,5,Low,Average,0,0,0,0,1,1,0,0
55,285623,596,Own,11,Personal,454590,Paid,332899,101857,24,Late,0,5,2,UPI,0,High,4,7,High,Average,0,0,1,0,0,1,0,0
54,2760386,653,Own,25,Credit Card,507693,Paid,309390,43701,14,On Time,1,6,7,Debit Card,0,Low,2,3,Medium,Poor,0,0,0,0,0,0,0,0
21,2200829,354,Own,25,Car,862738,Defaulted,723,97793,10,On Time,0,6,3,Cash,1,High,4,9,High,Poor,0,0,0,0,0,1,0,0
51,1262494,600,Own,11,Education,954450,Defaulted,356066,19162,36,Late,0,9,12,UPI,0,High,4,3,Low,Poor,0,0,0,0,0,0,0,0
59,328660,614,Rent,30,Home,101563,Paid,101354,62814,49,Late,0,5,4,Cash,0,Low,3,5,High,Average,0,0,0,0,0,0,0,0
39,2064992,555,Rent,25,Home,462172,Defaulted,407761,78428,41,On Time,0,1,10,UPI,1,Low,3,2,Low,Poor,0,0,0,0,0,0,0,0
22,2667584,480,Rent,27,Credit Card,851446,Paid,411264,104688,5,On Time,1,7,2,Debit Card,0,High,3,2,Medium,Good,0,0,0,0,0,0,0,0
67,477957,680,Own,5,Education,341120,Defaulted,133219,42152,2,On Time,0,4,4,UPI,0,Low,4,3,High,Good,0,0,0,0,0,0,0,0
59,2170546,607,Own,0,Personal,112079,Defaulted,419039,34514,31,Late,0,6,2,Debit Card,1,Low,4,5,Medium,Average,0,0,0,0,0,0,0,0
40,1283575,822,Own,1,Car,349932,Defaulted,188293,120554,17,On Time,0,4,15,Credit Card,1,Medium,3,1,Medium,Good,0,0,0,1,0,1,1,1
32,2355267,651,Own,26,Personal,85398,Paid,320314,76251,21,On Time,1,3,9,Cash,0,Low,2,7,Medium,Poor,0,0,0,0,0,1,0,0
48,943061,422,Own,7,Education,242510,Paid,93712,86774,32,Late,1,1,2,Debit Card,0,Medium,4,6,High,Poor,0,0,0,0,0,1,0,0
26,1982713,778,Rent,9,Education,729394,Defaulted,89533,7182,34,Late,1,0,5,Cash,0,Low,1,3,Low,Good,1,1,0,0,0,0,0,0
60,1357291,859,Own,8,Home,69990,Paid,179865,87265,29,On Time,0,0,8,UPI,0,Medium,2,9,Medium,Good,0,1,0,0,0,1,0,0
42,2769016,767,Rent,10,Personal,575574,Defaulted,417236,50213,48,On Time,0,0,12,Cash,1,Low,4,3,Medium,Good,0,1,0,0,0,0,0,0
42,1601053,481,Rent,3,Credit Card,174090,Paid,23226,122654,20,On Time,1,8,11,Debit Card,0,Low,2,2,High,Good,0,0,0,0,0,0,0,0
66,481843,689,Own,29,Education,617753,Defaulted,334207,30142,33,On Time,0,7,16,Credit Card,0,High,3,3,Low,Average,0,0,0,1,0,0,0,1
38,1712503,605,Own,26,Home,230369,Defaulted,411282,38185,9,Late,0,3,3,Debit Card,0,Medium,2,9,High,Average,0,0,0,0,1,0,0,0
26,1856382,555,Rent,16,Car,710712,Paid,18160,144823,22,Late,1,5,17,Credit Card,0,Medium,1,7,Medium,Poor,0,0,0,1,0,0,1,1
65,2983846,637,Own,8,Credit Card,262193,Defaulted,373202,15749,28,On Time,0,1,16,Debit Card,0,Low,2,2,Low,Poor,0,0,0,0,0,0,0,0
55,652468,803,Own,5,Credit Card,728685,Defaulted,19428,69998,47,On Time,0,4,12,Credit Card,1,Medium,1,6,Medium,Average,0,0,0,1,0,1,0,1
39,843238,512,Rent,28,Home,400519,Paid,309850,115622,36,On Time,0,5,0,Credit Card,1,High,4,7,Medium,Good,0,0,0,1,0,0,0,1
60,601549,596,Own,4,Credit Card,841049,Paid,133025,115466,42,Late,1,0,13,Cash,1,Medium,4,1,High,Poor,0,0,0,0,0,1,0,0
40,265625,519,Own,0,Credit Card,845955,Defaulted,197305,115613,32,On Time,0,6,12,Cash,1,Medium,4,9,Medium,Good,0,0,1,0,0,1,0,0
66,1998033,839,Rent,17,Home,842306,Defaulted,204444,6245,38,On Time,0,9,10,UPI,1,High,3,1,High,Poor,0,1,0,0,0,0,0,0
21,2580086,722,Own,13,Home,181149,Paid,384897,90752,3,Late,1,8,16,Cash,1,Medium,2,4,High,Poor,0,0,0,0,0,1,0,0
46,598706,498,Own,11,Education,464277,Paid,202277,57260,2,On Time,1,0,18,Credit Card,1,Medium,4,4,Low,Poor,0,0,0,0,0,1,0,0
32,1619479,490,Rent,3,Home,279188,Defaulted,201298,9602,27,Late,1,4,6,UPI,1,Medium,3,7,Medium,Average,0,0,0,0,0,0,0,0
18,1194744,428,Own,7,Car,881355,Defaulted,18233,110979,24,On Time,1,1,8,Credit Card,1,Low,4,2,Low,Poor,0,0,0,1,0,1,1,1
47,298163,460,Rent,5,Personal,846790,Paid,258797,136061,24,Late,1,6,14,Debit Card,0,High,1,6,High,Average,0,0,1,0,0,0,0,0
46,893106,332,Own,19,Home,678227,Defaulted,296685,15596,32,Late,1,3,13,UPI,1,High,3,7,Low,Average,0,0,0,0,1,0,0,0
37,498136,310,Own,22,Education,574933,Paid,162985,86376,29,On Time,0,7,17,Debit Card,1,High,3,7,Medium,Good,0,0,1,0,0,1,0,0
50,2911153,806,Own,16,Car,485921,Paid,197377,129137,11,On Time,1,4,15,Cash,1,Medium,1,6,Medium,Average,0,0,0,0,0,1,1,0
58,877983,743,Rent,0,Personal,80407,Defaulted,160399,35999,22,On Time,1,0,17,Credit Card,1,Medium,1,6,Medium,Good,0,0,0,1,0,0,0,1
61,2912911,514,Own,13,Home,248699,Paid,44811,19381,40,On Time,0,4,7,Debit Card,1,Medium,1,6,Medium,Poor,0,0,0,0,1,0,0,0
53,447298,792,Own,1,Education,433938,Paid,370908,81291,25,Late,0,2,0,Credit Card,0,High,2,3,Medium,Poor,0,0,0,1,0,1,0,1
39,1904084,489,Rent,15,Personal,410512,Defaulted,48929,99598,3,Late,1,0,12,Credit Card,0,Medium,2,5,Medium,Good,0,0,0,0,0,0,0,0
30,1657055,700,Rent,25,Personal,951796,Paid,420310,100001,19,On Time,1,4,12,Cash,1,Low,1,6,High,Good,0,0,0,0,0,0,0,0
24,1535169,883,Own,10,Education,870733,Paid,418876,78768,37,On Time,0,6,6,UPI,0,Medium,2,2,Medium,Poor,1,1,0,0,0,1,0,0
25,1379246,544,Own,32,Personal,931366,Paid,183870,33956,49,On Time,1,6,13,Credit Card,1,High,4,1,Medium,Poor,1,0,0,1,0,0,0,1
45,682835,692,Own,12,Credit Card,421098,Paid,469702,127354,47,On Time,0,5,8,Credit Card,0,Low,2,2,Medium,Poor,0,0,0,1,0,1,0,1
62,2162698,382,Own,26,Car,758195,Defaulted,182063,36079,24,Late,0,7,10,Debit Card,1,Medium,3,6,High,Average,0,0,0,0,0,0,1,0
60,381649,413,Rent,11,Credit Card,721660,Defaulted,340877,29343,29,Late,0,0,11,Cash,0,Low,2,6,Low,Average,0,0,1,0,0,0,0,0
26,316405,368,Rent,2,Personal,83196,Paid,114427,149354,35,Late,1,0,0,Debit Card,0,Low,2,3,High,Good,1,0,1,0,0,0,0,0
42,2601610,633,Own,3,Home,86307,Defaulted,231479,42955,5,Late,1,1,10,UPI,0,Medium,4,9,Medium,Average,0,0,0,0,0,0,0,0
33,1431435,460,Own,14,Education,329499,Defaulted,133852,15379,49,Late,0,0,13,Credit Card,1,Low,1,7,Low,Good,1,0,0,1,0,0,0,1
27,1756284,406,Rent,27,Education,470898,Defaulted,61597,95664,28,On Time,1,6,13,Credit Card,0,High,2,1,Low,Poor,0,0,0,1,0,0,0,1
28,1316475,746,Rent,13,Car,726868,Paid,192834,7956,17,Late,0,6,4,Cash,1,High,1,6,High,Poor,0,0,0,0,0,0,0,0
48,396318,439,Rent,23,Education,637516,Defaulted,272231,138546,40,Late,1,3,2,Credit Card,1,Medium,3,6,Medium,Poor,0,0,1,1,0,0,0,1
29,1538228,659,Own,5,Education,259792,Defaulted,482314,92610,17,Late,0,8,1,Cash,0,Medium,1,6,Low,Poor,0,0,0,0,0,1,0,0
48,2103651,449,Own,10,Car,433440,Defaulted,481353,103341,46,Late,1,6,2,Credit Card,1,High,2,6,Medium,Poor,0,0,0,1,0,1,0,1
31,445571,398,Rent,28,Credit Card,91887,Defaulted,36847,87641,43,Late,1,3,8,UPI,0,Low,3,6,Medium,Poor,1,0,1,0,0,0,0,0
68,2600705,466,Own,15,Credit Card,728782,Defaulted,26318,27551,14,On Time,0,3,5,Debit Card,0,Low,3,1,Medium,Average,0,0,0,0,0,0,0,0
61,971883,762,Rent,12,Personal,338387,Paid,334562,102234,34,On Time,0,3,2,Debit Card,0,Low,2,8,Low,Good,0,0,0,0,0,0,0,0
49,2836620,855,Own,10,Education,727441,Paid,281125,90186,27,Late,1,4,1,UPI,0,Medium,2,8,Low,Average,0,1,0,0,0,1,0,0
67,605593,898,Rent,33,Personal,755841,Defaulted,334571,52739,35,Late,1,8,3,Credit Card,1,Low,1,1,Medium,Poor,0,0,0,1,0,0,0,1
34,851439,383,Own,17,Personal,460328,Paid,359279,11898,38,Late,0,4,12,Debit Card,0,High,3,7,Low,Poor,1,0,0,0,0,0,0,0
52,2421475,601,Rent,9,Personal,148386,Paid,494212,78363,9,Late,0,6,9,Debit Card,1,Medium,3,4,High,Poor,0,0,0,0,0,0,0,0
18,1827867,539,Own,29,Car,580898,Defaulted,454238,43296,42,Late,0,9,7,Debit Card,1,Low,4,1,High,Good,1,0,0,0,0,0,1,0
